adjective,noun,label,pan,pna,rep
unstitched,portion,1,0.22613008198565954,0.7321711871371696,0.5157260143944896
beautiful,overcoat,1,0.7036946618784838,0.3577668653654774,0.5760142642741711
bewildering,swiftness,0,0.5326827207025044,0.4198904130718397,0.5072560785119155
unassailable,documents,1,0.4959592189353468,0.6931135726738422,0.6628721445550357
crunchy,rice,1,0.41456038134698725,0.5930679021478689,0.5451673480408682
unsteady,table,1,0.39861333909654106,0.5303122589018867,0.49381441585488917
segregated,periods,1,0.6731894992483074,0.8468853722032886,0.8771544158406499
homosporous,spores,1,0.25199370941696647,0.5086778144966749,0.38576042617419903
papal,f,0,0.7072851030328946,0.5408305752415675,0.698331176286948
indomitable,monarch,1,0.5847765546414561,0.5960927507342175,0.656127930482058
vestibulospinal,test,1,0.45072605435324475,0.7757792293213919,0.6881088686104845
yellow,oxychloride,1,0.8052501273578024,0.22409827544363692,0.5533987760453394
interprovincial,flights,1,0.385078686488528,0.5646239885287067,0.5076442047364665
unarmoured,vessel,1,0.21286999868927786,0.5633233155619198,0.3965383401036908
unwieldy,plots,1,0.6602606131245758,0.7107954819093104,0.779655209202646
dipterous,wing,1,0.28793274803979696,0.5851918923134627,0.45893298266765287
provisional,conception,1,0.5038317054379831,0.5261453216200535,0.5584464669782884
candid,pupil,1,0.6203809789658147,0.5723900028889843,0.6633832101753859
unfit,foods,1,0.4148810076346215,0.5409601883861849,0.5112103395997861
indomitable,idealist,1,0.6136141092619666,0.47668135042772064,0.596303410505666
overaggressive,policy,1,0.2952721315397088,0.8520408423272194,0.6385804316504137
paleobotanical,history,1,0.3035861803029027,0.7830177539858655,0.5986511796084518
basaltic,concrete,1,0.5660480148117916,0.5675626417529938,0.6254327669001432
misbegotten,hypothesis,0,0.36318718854283755,0.6567578102690714,0.5540323727636889
plumpish,teenager,1,0.22932627030610794,0.40912856520202984,0.30598267869650714
cholinomimetic,alkaloid,1,0.30848006396565925,0.4080226728640547,0.3559342623865651
necked,shape,1,0.5103948081898064,0.8164507622545806,0.7529752028340553
lightheaded,air,0,0.27859021238409826,0.7519649761677243,0.562289537625057
nuptial,land,1,0.5997836200319909,0.8224135995390488,0.8141138723819221
illustrative,parameters,1,0.6920903075525277,0.7172949698170085,0.804294650114162
depreciable,nature,0,0.5842367089495153,0.8865770238125761,0.8462263913050344
thirtieth,instruction,1,0.5963148305565722,0.7108059050781871,0.7387220478610399
polychromic,blue,0,0.215354766894024,0.6907314863831139,0.481659098439194
vestibulospinal,assessment,1,0.3932083668223646,0.6691901425106455,0.5814035735435154
demountable,wheel,1,0.35792424725346095,0.5776101015179523,0.49877293560238267
parous,women,1,0.02924036777552242,0.44841409077242433,0.20363766533324076
cryogenic,aerosols,1,0.5142658471073636,0.42178122646020566,0.49670468158055675
awful,writers,1,0.8539032406487527,0.8464432196566358,0.9925628571577256
adjusted,coefficient,1,0.39322858083297263,0.5913802824673315,0.5304036753558803
pyrogenic,dose,0,0.28106328663189944,0.5575573756495134,0.43641751268740137
physiologic,habits,1,0.6618521970882735,0.6923706794172511,0.7685947234513885
norwegian,reconstruction,0,0.6760228594919903,0.6064253680302466,0.7213206892239984
weldless,tubes,1,0.0,0.6128845567650925,0.2927454185826599
unmoral,play,1,0.4716798334294118,0.8142199358691699,0.7267261730021574
hungered,brother,1,0.10395620682304078,0.6655335210927767,0.39381841056601186
enjoyable,phases,1,0.5877274493317374,0.6597056776594963,0.6997223847047103
wise,conscience,1,0.717585924205818,0.592839741882318,0.7390237434183979
spineless,coward,0,0.22106542185899206,0.3027030185880641,0.23092029772503453
carlovingian,poem,1,0.41187488074055245,0.666873685189182,0.5918357416787202
inextensible,wires,1,0.37373767789187884,0.5483832750767001,0.4897357962810295
requisite,gap,0,0.7824268613168626,0.72197591844448,0.8651996746100887
dichromatic,splitter,1,0.31649567288705904,0.27153945972822624,0.2715864794154678
noncancelable,form,1,0.3579072917160243,0.8944510187991116,0.7064858178241916
phantasmagorical,character,1,0.23578832531299776,0.798613796055978,0.5654698778279921
affinal,prohibitions,1,0.4805621145828178,0.49788854498451574,0.5250231863868555
fluvioglacial,terrace,1,0.3213358776744806,0.5715504974511453,0.4713752408825249
chthonian,swamp,1,0.405811574473695,0.5590155767808325,0.51724109235476
gametic,flagella,0,0.41519028006661435,0.442627044188913,0.44694025667190185
mellow,elegance,0,0.6973597493903394,0.6606077724520595,0.7705036704202326
syllogistic,scholasticism,1,0.506272929040922,0.38589596639091334,0.46806068004986906
uncomplaining,victims,1,0.47392470190200653,0.6506880297347752,0.6209504251701302
indehiscent,drupe,1,0.350285710536106,0.3161659110475596,0.3224773684890706
plumpish,blonde,1,0.24218821500731916,0.4257073270276591,0.3250864632884707
unmixing,curve,1,0.27269071116320676,0.7401522870652428,0.5507679966336032
appealing,performance,1,0.48464707710652594,0.724714381431513,0.6763475470880705
jordanian,treasury,1,0.5538776156925322,0.5894756782601814,0.6320072974614495
unengaged,students,1,0.30214281122258374,0.7340863484099875,0.5656472248257568
inextensible,member,1,0.46557592795865815,0.7918210780851417,0.7081333795018935
authorized,condition,1,0.3473899946109031,0.8402930308749176,0.6642458699103151
affinal,unions,1,0.50967390995103,0.6571134675719331,0.6480507075710349
uncounted,lakes,1,0.5379303120967417,0.6702189362849917,0.6747333603875179
concessive,examples,1,0.51016439413623,0.8673419777032788,0.7861924206662204
segregated,efforts,0,0.6791306422849258,0.847388461468697,0.8812879424114537
exiled,landlords,1,0.639909731016671,0.6323147752997061,0.7151733154449968
indulgent,plans,1,0.5724439193929516,0.6982191317614929,0.7151871783480991
graphic,interactions,0,0.7036176100659796,0.6504375339869622,0.7678424399874275
nonionic,oil,1,0.5071465475115597,0.729199253344861,0.6936927003896258
elusive,characteristics,0,0.4234216506344035,0.592549693249436,0.5505008542185486
deadlocked,assembly,0,0.47230983698713536,0.7702835465897931,0.6983244304807431
mellow,echo,1,0.7033008924269578,0.6560932695510132,0.7713476187136373
farfamed,bridge,1,0.2589992620493869,0.6431543342977692,0.47840959814511136
murine,microflora,1,0.6672193330633565,0.5309368375554399,0.6661934539749107
flectional,morphology,0,0.1648603524598024,0.5535167333019215,0.359371851448448
lightheaded,youth,1,0.39027921890736855,0.7782231701243727,0.651011273360217
unforgotten,sunset,1,0.44065756504403564,0.5461702176037811,0.5311290012328012
refundable,payments,1,0.40380481590190415,0.6620962519526052,0.5835369178358067
gemmy,material,1,0.27082614078272904,0.7800449439414675,0.5757282255878136
unsteady,features,1,0.5373217317579944,0.740434132198044,0.7203774392314507
prepotent,energy,0,0.5143837309563676,0.8691061385918346,0.7900503654358562
spoken,intonation,1,0.5979565406926758,0.5031781496083204,0.6036505070903682
flectional,element,1,0.15078473409119345,0.7281446228458323,0.46484782668599717
adjusted,var,1,0.4662623903950431,0.4031344513162852,0.4537464461599549
concerned,commissioner,1,0.47155073906499223,0.42032914083403455,0.4684051966656568
unarmoured,parts,1,0.2916898251488209,0.7975726475802266,0.6005770970104052
thirtieth,combination,1,0.6117636535724018,0.708618696623055,0.7471788911417423
tensive,powers,1,0.3447613679250224,0.7750013724986298,0.6197571499183032
unengaged,time,0,0.3244981856221385,0.9385085212470298,0.7139808053297537
interprovincial,railway,1,0.4115184523633469,0.5498681449008824,0.5148976674695392
majestical,figure,1,0.41444019032872675,0.8270702164864941,0.6985044072357445
